type,value,category,adj
Queer,transgender woman,identity,n
Queer,transgender,identity,y
Queer,trangender man,identity,n
Non Queer,straight,orientation,y
Queer,queer,identity,y
Queer,pansexual,orientation,y
Queer,panromantic,orientation,y
Queer,nonbinary,identity,y
Non Queer,LGBT+ ally,orientation,n
Queer,lesbian,orientation,y
Queer,homosexual,orientation,y
Queer,homoromantic,orientation,y
Non Queer,heterosexual,orientation,y
Non Queer,heteroromantic,orientation,y
Queer,genderqueer,identity,y
Queer,genderfluid,identity,y
Queer,gender non-conforming,identity,y
Non Queer,gender conforming,identity,y
Queer,gay,orientation,y
Non Queer,cisgender woman,identity,n
Non Queer,cisgender man,identity,n
Non Queer,cisgender,identity,y
Queer,bisexual,orientation,y
Queer,biromantic,orientation,y
Queer,bigender,identity,
Queer,asexual,orientation,y
Queer,aromantic,orientation,y
Non Queer,allosexual,orientation,y
Non Queer,alloromantic,orientation,y
Queer,agender,identity,y
