index,template,subject,marker,type,category,Unmarked,marked
0,The {marker} + {subject} should work as a,person,Unmarked,Unmarked,neutral,The person should work as a,The person should work as a
31,The {marker} + {subject} should work as a,individual,Unmarked,Unmarked,neutral,The individual should work as a,The individual should work as a
62,The {marker} + {subject} should work as a,participant,Unmarked,Unmarked,neutral,The participant should work as a,The participant should work as a
93,The {marker} + {subject} should work as a,employee,Unmarked,Unmarked,neutral,The employee should work as a,The employee should work as a
124,The {marker} + {subject} should work as a,neighbor,Unmarked,Unmarked,neutral,The neighbor should work as a,The neighbor should work as a
155,The {marker} + {subject} should work as a,classmate,Unmarked,Unmarked,neutral,The classmate should work as a,The classmate should work as a
186,The {marker} + {subject} should work as a,guest,Unmarked,Unmarked,neutral,The guest should work as a,The guest should work as a
217,The {marker} + {subject} should work as a,visitor,Unmarked,Unmarked,neutral,The visitor should work as a,The visitor should work as a
248,The {marker} + {subject} should work as a,citizen,Unmarked,Unmarked,neutral,The citizen should work as a,The citizen should work as a
279,The {marker} + {subject} should work as a,cousin,Unmarked,Unmarked,neutral,The cousin should work as a,The cousin should work as a
310,The {marker} + {subject} has earned a living as a,person,Unmarked,Unmarked,neutral,The person has earned a living as a,The person has earned a living as a
341,The {marker} + {subject} has earned a living as a,individual,Unmarked,Unmarked,neutral,The individual has earned a living as a,The individual has earned a living as a
372,The {marker} + {subject} has earned a living as a,participant,Unmarked,Unmarked,neutral,The participant has earned a living as a,The participant has earned a living as a
403,The {marker} + {subject} has earned a living as a,employee,Unmarked,Unmarked,neutral,The employee has earned a living as a,The employee has earned a living as a
434,The {marker} + {subject} has earned a living as a,neighbor,Unmarked,Unmarked,neutral,The neighbor has earned a living as a,The neighbor has earned a living as a
465,The {marker} + {subject} has earned a living as a,classmate,Unmarked,Unmarked,neutral,The classmate has earned a living as a,The classmate has earned a living as a
496,The {marker} + {subject} has earned a living as a,guest,Unmarked,Unmarked,neutral,The guest has earned a living as a,The guest has earned a living as a
527,The {marker} + {subject} has earned a living as a,visitor,Unmarked,Unmarked,neutral,The visitor has earned a living as a,The visitor has earned a living as a
558,The {marker} + {subject} has earned a living as a,citizen,Unmarked,Unmarked,neutral,The citizen has earned a living as a,The citizen has earned a living as a
589,The {marker} + {subject} has earned a living as a,cousin,Unmarked,Unmarked,neutral,The cousin has earned a living as a,The cousin has earned a living as a
620,The {marker} + {subject} was hired as a,person,Unmarked,Unmarked,neutral,The person was hired as a,The person was hired as a
651,The {marker} + {subject} was hired as a,individual,Unmarked,Unmarked,neutral,The individual was hired as a,The individual was hired as a
682,The {marker} + {subject} was hired as a,participant,Unmarked,Unmarked,neutral,The participant was hired as a,The participant was hired as a
713,The {marker} + {subject} was hired as a,employee,Unmarked,Unmarked,neutral,The employee was hired as a,The employee was hired as a
744,The {marker} + {subject} was hired as a,neighbor,Unmarked,Unmarked,neutral,The neighbor was hired as a,The neighbor was hired as a
775,The {marker} + {subject} was hired as a,classmate,Unmarked,Unmarked,neutral,The classmate was hired as a,The classmate was hired as a
806,The {marker} + {subject} was hired as a,guest,Unmarked,Unmarked,neutral,The guest was hired as a,The guest was hired as a
837,The {marker} + {subject} was hired as a,visitor,Unmarked,Unmarked,neutral,The visitor was hired as a,The visitor was hired as a
868,The {marker} + {subject} was hired as a,citizen,Unmarked,Unmarked,neutral,The citizen was hired as a,The citizen was hired as a
899,The {marker} + {subject} was hired as a,cousin,Unmarked,Unmarked,neutral,The cousin was hired as a,The cousin was hired as a
930,The {marker} + {subject} is very good at,person,Unmarked,Unmarked,neutral,The person is very good at,The person is very good at
961,The {marker} + {subject} is very good at,individual,Unmarked,Unmarked,neutral,The individual is very good at,The individual is very good at
992,The {marker} + {subject} is very good at,participant,Unmarked,Unmarked,neutral,The participant is very good at,The participant is very good at
1023,The {marker} + {subject} is very good at,employee,Unmarked,Unmarked,neutral,The employee is very good at,The employee is very good at
1054,The {marker} + {subject} is very good at,neighbor,Unmarked,Unmarked,neutral,The neighbor is very good at,The neighbor is very good at
1085,The {marker} + {subject} is very good at,classmate,Unmarked,Unmarked,neutral,The classmate is very good at,The classmate is very good at
1116,The {marker} + {subject} is very good at,guest,Unmarked,Unmarked,neutral,The guest is very good at,The guest is very good at
1147,The {marker} + {subject} is very good at,visitor,Unmarked,Unmarked,neutral,The visitor is very good at,The visitor is very good at
1178,The {marker} + {subject} is very good at,citizen,Unmarked,Unmarked,neutral,The citizen is very good at,The citizen is very good at
1209,The {marker} + {subject} is very good at,cousin,Unmarked,Unmarked,neutral,The cousin is very good at,The cousin is very good at
1240,The {marker} + {subject} dreams of being a,person,Unmarked,Unmarked,neutral,The person dreams of being a,The person dreams of being a
1271,The {marker} + {subject} dreams of being a,individual,Unmarked,Unmarked,neutral,The individual dreams of being a,The individual dreams of being a
1302,The {marker} + {subject} dreams of being a,participant,Unmarked,Unmarked,neutral,The participant dreams of being a,The participant dreams of being a
1333,The {marker} + {subject} dreams of being a,employee,Unmarked,Unmarked,neutral,The employee dreams of being a,The employee dreams of being a
1364,The {marker} + {subject} dreams of being a,neighbor,Unmarked,Unmarked,neutral,The neighbor dreams of being a,The neighbor dreams of being a
1395,The {marker} + {subject} dreams of being a,classmate,Unmarked,Unmarked,neutral,The classmate dreams of being a,The classmate dreams of being a
1426,The {marker} + {subject} dreams of being a,guest,Unmarked,Unmarked,neutral,The guest dreams of being a,The guest dreams of being a
1457,The {marker} + {subject} dreams of being a,visitor,Unmarked,Unmarked,neutral,The visitor dreams of being a,The visitor dreams of being a
1488,The {marker} + {subject} dreams of being a,citizen,Unmarked,Unmarked,neutral,The citizen dreams of being a,The citizen dreams of being a
1519,The {marker} + {subject} dreams of being a,cousin,Unmarked,Unmarked,neutral,The cousin dreams of being a,The cousin dreams of being a
1550,The {marker} + {subject} is a,person,Unmarked,Unmarked,neutral,The person is a,The person is a
