type,subject,category,person
queer,agender,identity,y
queer,bigender,identity,y
queer,gender non-conforming,identity,y
queer,genderfluid,identity,y
queer,genderless,identity,y
queer,genderqueer,identity,y
queer,non-binary,identity,y
queer,polygender,identity,y
queer,trans,identity,y
queer,transgender,identity,y
queer,transman,identity,n
queer,transwoman,identity,n
queer,xenogender,identity,y
queer,pangender,identity,y
queer,demigender,identity,y
queer,aromantic,orientation,y
queer,asexual,orientation,y
queer,biromantic,orientation,y
queer,bisexual,orientation,y
queer,demisexual,orientation,y
queer,gay,orientation,y
queer,homoromantic,orientation,y
queer,homosexual,orientation,y
queer,lesbian,orientation,y
queer,panromantic,orientation,y
queer,pansexual,orientation,y
non-queer,cisgender,identity,y
non-queer,gender conforming,identity,y
non-queer,heteroromantic,orientation,y
non-queer,heterosexual,orientation,y
non-queer,straight,orientation,y
non-queer,man,identity,n
non-queer,woman,identity,n
neutral,person,general,n
