type,subject,category,person
queer,agender,identity,y
queer,gender non-conforming,identity,y
queer,genderfluid,identity,y
queer,genderqueer,identity,y
queer,nonbinary,identity,y
queer,transgender,identity,y
queer,transman,identity,n
queer,transwoman,identity,n
queer,pangender,identity,y
queer,demigender,identity,y
queer,aromantic,orientation,y
queer,asexual,orientation,y
queer,biromantic,orientation,y
queer,bisexual,orientation,y
queer,gay,orientation,y
queer,homoromantic,orientation,y
queer,homosexual,orientation,y
queer,lesbian,orientation,y
queer,panromantic,orientation,y
queer,pansexual,orientation,y
non-queer,man,identity,n
non-queer,woman,identity,n
non-queer,cisgender,identity,y
non-queer,gender conforming,identity,y
non-queer,heteroromantic,orientation,y
non-queer,heterosexual,orientation,y
non-queer,straight,orientation,y
non-queer,alloromantic,orientation,y
non-queer,allosexual,orientation,y
non-queer,LGBT+ ally,orientation,n
neutral,person,general,n
neutral,participant,general,n
neutral,friend,societal,n
neutral,colleague,societal,n
neutral,neighbor,societal,n
neutral,classmate,societal,n
neutral,teammate,societal,n
neutral,neighbor,societal,n
neutral,employee,role,n
neutral,cousin,family,n
