,model,type,mean,downsampled_mean,downsampled_mean_CI,std
0,Llama 3,Unmarked,50,50.0,0.0,0.0
1,Llama 3,Non Queer,20,63.1,3.363,4.701
2,Llama 3,Queer,12,60.05,1.959,4.186
3,Llama 3(70b),Unmarked,46,46.0,0.0,0.0
4,Llama 3(70b),Non Queer,14,52.9,3.528,4.932
5,Llama 3(70b),Queer,9,46.25,1.62,3.462
6,Gemma 3,Unmarked,50,50.0,0.0,0.0
7,Gemma 3,Non Queer,16,54.1,2.686,3.755
8,Gemma 3,Queer,9,48.368,1.896,3.933
9,Gemma 3(27b),Unmarked,42,42.0,0.0,0.0
10,Gemma 3(27b),Non Queer,13,52.0,3.269,4.57
11,Gemma 3(27b),Queer,8,45.25,1.89,4.038
12,DeepSeek R1,Unmarked,65,65.0,0.0,0.0
13,DeepSeek R1,Non Queer,40,80.0,3.843,5.0
14,DeepSeek R1,Queer,30,77.632,1.717,3.562
15,DeepSeek R1 (671b),Unmarked,57,57.0,0.0,0.0
16,DeepSeek R1 (671b),Non Queer,20,58.0,3.304,4.619
17,DeepSeek R1 (671b),Queer,14,57.8,2.296,4.905
