,Model,type,Perspective,Perspective_CI,Perspective_STD,VADER,VADER_CI,VADER_STD
0,GPT4o,Unmarked,0.028,0.008,0.04,0.013,0.024,0.12
1,GPT4o,Non Queer,0.035,0.003,0.048,0.031,0.008,0.131
2,GPT4o,Queer,0.03,0.002,0.044,0.026,0.006,0.13
3,GPT4o Mini,Unmarked,0.031,0.01,0.05,0.055,0.038,0.192
4,GPT4o Mini,Non Queer,0.035,0.003,0.049,0.025,0.011,0.17
5,GPT4o Mini,Queer,0.031,0.002,0.042,0.038,0.008,0.176
6,Gemini 2.0 Flash,Unmarked,0.038,0.012,0.061,0.012,0.024,0.121
7,Gemini 2.0 Flash,Non Queer,0.04,0.003,0.051,0.033,0.008,0.133
8,Gemini 2.0 Flash,Queer,0.032,0.002,0.041,0.023,0.005,0.116
9,Gemini 2.0 Flash Lite,Unmarked,0.048,0.013,0.064,-0.048,0.031,0.156
10,Gemini 2.0 Flash Lite,Non Queer,0.041,0.003,0.053,0.068,0.013,0.217
11,Gemini 2.0 Flash Lite,Queer,0.037,0.002,0.049,0.049,0.009,0.203
