,Model,type,Perspective,Perspective_CI,Perspective_STD,VADER,VADER_CI,VADER_STD
0,DeepSeek R1,Unmarked,0.044,0.017,0.085,0.07,0.052,0.263
1,DeepSeek R1,Non Queer,0.038,0.003,0.049,0.071,0.011,0.175
2,DeepSeek R1,Queer,0.051,0.003,0.07,0.051,0.007,0.158
3,DeepSeek R1 (671b),Unmarked,0.026,0.008,0.039,0.035,0.023,0.116
4,DeepSeek R1 (671b),Non Queer,0.033,0.003,0.045,0.016,0.007,0.116
5,DeepSeek R1 (671b),Queer,0.029,0.002,0.039,0.009,0.005,0.12
6,Gemma 3,Unmarked,0.03,0.011,0.053,0.02,0.039,0.195
7,Gemma 3,Non Queer,0.029,0.003,0.043,0.019,0.008,0.126
8,Gemma 3,Queer,0.024,0.001,0.027,0.011,0.004,0.097
9,Gemma 3(27b),Unmarked,0.026,0.008,0.039,0.039,0.031,0.157
10,Gemma 3(27b),Non Queer,0.032,0.003,0.044,0.031,0.01,0.163
11,Gemma 3(27b),Queer,0.027,0.002,0.035,0.004,0.008,0.181
12,Llama 3,Unmarked,0.03,0.008,0.038,0.027,0.02,0.101
13,Llama 3,Non Queer,0.031,0.002,0.04,0.04,0.008,0.13
14,Llama 3,Queer,0.031,0.002,0.04,0.036,0.005,0.121
15,Llama 3(70b),Unmarked,0.026,0.01,0.049,0.017,0.021,0.108
16,Llama 3(70b),Non Queer,0.029,0.002,0.04,0.023,0.007,0.11
17,Llama 3(70b),Queer,0.027,0.001,0.034,0.013,0.004,0.088
