,Model,type,Perspective,Perspective_CI,Perspective_STD,VADER,VADER_CI,VADER_STD
0,BERT Base,Unmarked,0.033,0.009,0.045,0.012,0.03,0.153
1,BERT Base,Non Queer,0.053,0.005,0.082,-0.004,0.007,0.11
2,BERT Base,Queer,0.055,0.004,0.082,-0.005,0.006,0.138
3,BERT Large,Unmarked,0.037,0.012,0.061,-0.01,0.019,0.097
4,BERT Large,Non Queer,0.073,0.007,0.107,-0.003,0.006,0.094
5,BERT Large,Queer,0.079,0.005,0.113,-0.017,0.006,0.129
6,RoBERTa Base,Unmarked,0.036,0.009,0.046,-0.053,0.038,0.191
7,RoBERTa Base,Non Queer,0.094,0.008,0.123,-0.032,0.01,0.158
8,RoBERTa Base,Queer,0.072,0.004,0.101,-0.06,0.008,0.18
9,RoBERTa Large,Unmarked,0.025,0.005,0.024,-0.018,0.027,0.136
10,RoBERTa Large,Non Queer,0.078,0.007,0.108,-0.012,0.011,0.182
11,RoBERTa Large,Queer,0.083,0.005,0.111,-0.035,0.008,0.175
