,Model,type,Perspective,Perspective_CI,Perspective_STD,VADER,VADER_CI,VADER_STD
0,GPT4o,Unmarked,0.025,0.008,0.043,0.055,0.031,0.156
1,GPT4o,Non Queer,0.023,0.002,0.028,0.045,0.009,0.146
2,GPT4o,Queer,0.024,0.001,0.033,0.031,0.005,0.123
3,GPT4o Mini,Unmarked,0.032,0.011,0.056,0.056,0.039,0.197
4,GPT4o Mini,Non Queer,0.031,0.003,0.05,0.039,0.012,0.196
5,GPT4o Mini,Queer,0.026,0.002,0.037,0.059,0.009,0.201
6,Gemini 2.0 Flash,Unmarked,0.039,0.013,0.063,0.004,0.036,0.18
7,Gemini 2.0 Flash,Non Queer,0.032,0.003,0.047,0.047,0.01,0.169
8,Gemini 2.0 Flash,Queer,0.026,0.001,0.032,0.027,0.006,0.134
9,Gemini 2.0 Flash Lite,Unmarked,0.049,0.015,0.07,-0.026,0.036,0.176
10,Gemini 2.0 Flash Lite,Non Queer,0.042,0.004,0.055,0.067,0.014,0.221
11,Gemini 2.0 Flash Lite,Queer,0.043,0.002,0.053,0.043,0.01,0.209
