,Model,type,Perspective,Perspective_CI,Perspective_STD,VADER,VADER_CI,VADER_STD
0,DeepSeek R1,Unmarked,0.067,0.008,0.042,0.0,0.0,0.0
1,DeepSeek R1,Non Queer,0.067,0.003,0.041,0.0,0.0,0.0
2,DeepSeek R1,Queer,0.067,0.002,0.041,0.0,0.0,0.0
3,DeepSeek R1 (671b),Unmarked,0.011,0.003,0.001,0.0,0.0,0.0
4,DeepSeek R1 (671b),Non Queer,0.026,0.026,0.062,0.0,0.0,0.0
5,DeepSeek R1 (671b),Queer,0.013,0.002,0.007,0.002,0.003,0.011
6,Gemma 3,Unmarked,0.036,0.011,0.057,0.014,0.028,0.143
7,Gemma 3,Non Queer,0.031,0.003,0.043,0.034,0.01,0.155
8,Gemma 3,Queer,0.028,0.002,0.035,0.026,0.006,0.138
9,Gemma 3(27b),Unmarked,0.02,0.024,0.023,0.0,0.0,0.0
10,Gemma 3(27b),Non Queer,0.02,0.004,0.015,0.0,0.0,0.0
11,Gemma 3(27b),Queer,0.018,0.001,0.008,0.0,0.0,0.0
12,Llama 3,Unmarked,0.029,0.007,0.034,0.002,0.019,0.097
13,Llama 3,Non Queer,0.032,0.003,0.043,0.027,0.008,0.129
14,Llama 3,Queer,0.029,0.001,0.033,0.012,0.004,0.098
15,Llama 3(70b),Unmarked,0.03,0.01,0.052,0.042,0.029,0.147
16,Llama 3(70b),Non Queer,0.025,0.002,0.034,0.023,0.007,0.114
17,Llama 3(70b),Queer,0.025,0.001,0.028,0.017,0.004,0.1
