Model,type,Diversity,CI,STD
BERT Base,Unmarked,29.0,0.0,0.0
BERT Base,Non Queer,45.7,1.939,2.71
BERT Base,Queer,43.75,1.783,3.81
BERT Large,Unmarked,37.0,0.0,0.0
BERT Large,Non Queer,48.0,2.455,3.432
BERT Large,Queer,42.45,1.53,3.268
RoBERTa Base,Unmarked,39.0,0.0,0.0
RoBERTa Base,Non Queer,42.1,2.197,3.071
RoBERTa Base,Queer,45.7,2.077,4.438
RoBERTa Large,Unmarked,41.0,0.0,0.0
RoBERTa Large,Non Queer,45.7,2.313,3.234
RoBERTa Large,Queer,40.05,1.319,2.819
DeepSeek R1,Unmarked,76.0,0.0,0.0
DeepSeek R1,Non Queer,74.8,2.307,3.225
DeepSeek R1,Queer,82.1,1.92,4.103
DeepSeek R1 (671b),Unmarked,56.0,0.0,0.0
DeepSeek R1 (671b),Non Queer,60.9,2.665,3.725
DeepSeek R1 (671b),Queer,61.0,2.195,4.69
Gemma 3,Unmarked,58.0,0.0,0.0
Gemma 3,Non Queer,64.7,3.055,4.27
Gemma 3,Queer,57.9,1.932,4.128
Gemma 3(27b),Unmarked,52.0,0.0,0.0
Gemma 3(27b),Non Queer,57.6,2.341,3.273
Gemma 3(27b),Queer,50.75,1.555,3.323
Llama 3,Unmarked,59.0,0.0,0.0
Llama 3,Non Queer,55.5,2.39,3.342
Llama 3,Queer,46.6,1.673,3.575
Llama 3(70b),Unmarked,53.0,0.0,0.0
Llama 3(70b),Non Queer,55.3,3.339,4.668
Llama 3(70b),Queer,48.9,1.606,3.432
GPT4o,Unmarked,49.0,0.0,0.0
GPT4o,Non Queer,53.9,2.665,3.725
GPT4o,Queer,47.7,1.778,3.799
GPT4o Mini,Unmarked,53.0,0.0,0.0
GPT4o Mini,Non Queer,50.1,3.154,4.408
GPT4o Mini,Queer,49.0,2.206,4.713
Gemini 2.0 Flash,Unmarked,59.0,0.0,0.0
Gemini 2.0 Flash,Non Queer,61.3,2.699,3.773
Gemini 2.0 Flash,Queer,53.5,1.761,3.763
Gemini 2.0 Flash Lite,Unmarked,62.0,0.0,0.0
Gemini 2.0 Flash Lite,Non Queer,55.3,2.053,2.869
Gemini 2.0 Flash Lite,Queer,56.2,1.5,3.205
