Model,subject,Regard,Score,CI
BERT Base,Unmarked,Negative,0.05081300813008131,0.027439024390243903
BERT Base,Unmarked,Neutral,0.7591463414634146,0.06504065040650407
BERT Base,Unmarked,Positive,0.19004065040650406,0.06402439024390244
BERT Base,Non Queer,Negative,0.11419753086419754,0.015432098765432098
BERT Base,Non Queer,Neutral,0.7211934156378601,0.0205761316872428
BERT Base,Non Queer,Positive,0.1646090534979424,0.01748971193415638
BERT Base,Queer,Negative,0.1266735324407827,0.01132852729145211
BERT Base,Queer,Neutral,0.6766220391349125,0.015447991761071058
BERT Base,Queer,Positive,0.19670442842430483,0.013388259526261584
BERT Large,Unmarked,Negative,0.05527123848515864,0.02968270214943705
BERT Large,Unmarked,Neutral,0.6663254861821903,0.07778915046059365
BERT Large,Unmarked,Positive,0.27840327533265097,0.07676560900716478
BERT Large,Non Queer,Negative,0.1899383983572895,0.021560574948665298
BERT Large,Non Queer,Neutral,0.6540041067761807,0.02361396303901437
BERT Large,Non Queer,Positive,0.15605749486652976,0.017453798767967144
BERT Large,Queer,Negative,0.23100616016427106,0.01642710472279261
BERT Large,Queer,Neutral,0.6232032854209446,0.017453798767967148
BERT Large,Queer,Positive,0.1457905544147844,0.012320328542094456
RoBERTa Base,Unmarked,Negative,0.16032887975334018,0.059609455292908536
RoBERTa Base,Unmarked,Neutral,0.5971223021582733,0.07810894141829394
RoBERTa Base,Unmarked,Positive,0.24254881808838644,0.0709146968139774
RoBERTa Base,Non Queer,Negative,0.26244813278008294,0.023858921161825725
RoBERTa Base,Non Queer,Neutral,0.5798755186721992,0.024896265560165973
RoBERTa Base,Non Queer,Positive,0.15767634854771784,0.017634854771784232
RoBERTa Base,Queer,Negative,0.2505197505197505,0.01663201663201663
RoBERTa Base,Queer,Neutral,0.58004158004158,0.017671517671517672
RoBERTa Base,Queer,Positive,0.16943866943866942,0.012474012474012473
RoBERTa Large,Unmarked,Negative,0.09416581371545547,0.04503582395087001
RoBERTa Large,Unmarked,Neutral,0.6458546571136131,0.0767656090071648
RoBERTa Large,Unmarked,Positive,0.2599795291709314,0.07164790174002048
RoBERTa Large,Non Queer,Negative,0.20664589823468327,0.020768431983385252
RoBERTa Large,Non Queer,Neutral,0.6116303219106957,0.02388369678089304
RoBERTa Large,Non Queer,Positive,0.18172377985462096,0.017653167185877467
RoBERTa Large,Queer,Negative,0.23858921161825727,0.015560165975103735
RoBERTa Large,Queer,Neutral,0.6078838174273858,0.016597510373443983
RoBERTa Large,Queer,Positive,0.15352697095435686,0.011410788381742738
Llama 3,Unmarked,Negative,0.07426778242677824,0.03138075313807531
Llama 3,Unmarked,Neutral,0.7761506276150628,0.06276150627615062
Llama 3,Unmarked,Positive,0.14958158995815898,0.04497907949790795
Llama 3,Non Queer,Negative,0.13375130616509925,0.016718913270637407
Llama 3,Non Queer,Neutral,0.690700104493208,0.0219435736677116
Llama 3,Non Queer,Positive,0.1755485893416928,0.016718913270637407
Llama 3,Queer,Negative,0.15712799167533817,0.012486992715920915
Llama 3,Queer,Neutral,0.6753381893860562,0.015608740894901142
Llama 3,Queer,Positive,0.1675338189386056,0.01040582726326743
Llama 3(70b),Unmarked,Negative,0.1105318039624609,0.049009384775808136
Llama 3(70b),Unmarked,Neutral,0.6684045881126174,0.07612095933263817
Llama 3(70b),Unmarked,Positive,0.2210636079249218,0.061522419186652764
Llama 3(70b),Non Queer,Negative,0.1700105596620908,0.01795142555438226
Llama 3(70b),Non Queer,Neutral,0.6473072861668426,0.023231256599788804
Llama 3(70b),Non Queer,Positive,0.1826821541710665,0.01689545934530095
Llama 3(70b),Queer,Negative,0.15854922279792744,0.013471502590673574
Llama 3(70b),Queer,Neutral,0.6642487046632124,0.0155440414507772
Llama 3(70b),Queer,Positive,0.1772020725388601,0.011398963730569946
Gemma 3,Unmarked,Negative,0.14018691588785046,0.05711318795430945
Gemma 3,Unmarked,Neutral,0.6957424714434061,0.07268951194184839
Gemma 3,Unmarked,Positive,0.1640706126687435,0.04880581516095534
Gemma 3,Non Queer,Negative,0.12710084033613445,0.016806722689075633
Gemma 3,Non Queer,Neutral,0.6407563025210085,0.02415966386554622
Gemma 3,Non Queer,Positive,0.23214285714285715,0.019957983193277313
Gemma 3,Queer,Negative,0.09430051813471502,0.00932642487046632
Gemma 3,Queer,Neutral,0.705699481865285,0.014507772020725387
Gemma 3,Queer,Positive,0.19999999999999998,0.012435233160621761
Gemma 3(27b),Unmarked,Negative,0.08212058212058213,0.0395010395010395
Gemma 3(27b),Unmarked,Neutral,0.6424116424116424,0.08004158004158005
Gemma 3(27b),Unmarked,Positive,0.2754677754677755,0.07276507276507277
Gemma 3(27b),Non Queer,Negative,0.17940552016985137,0.019108280254777066
Gemma 3(27b),Non Queer,Neutral,0.5955414012738853,0.025477707006369425
Gemma 3(27b),Non Queer,Positive,0.22505307855626325,0.020169851380042462
Gemma 3(27b),Queer,Negative,0.1286307053941909,0.011410788381742738
Gemma 3(27b),Queer,Neutral,0.6659751037344399,0.015560165975103735
Gemma 3(27b),Queer,Positive,0.20539419087136931,0.013485477178423237
DeepSeek R1,Unmarked,Negative,0.01507537688442211,0.022110552763819093
DeepSeek R1,Unmarked,Neutral,0.9758793969849247,0.022110552763819093
DeepSeek R1,Unmarked,Positive,0.009045226130653266,0.004020100502512563
DeepSeek R1,Non Queer,Negative,0.1168421052631579,0.10842105263157895
DeepSeek R1,Non Queer,Neutral,0.7252631578947368,0.17157894736842105
DeepSeek R1,Non Queer,Positive,0.15789473684210525,0.12105263157894738
DeepSeek R1,Queer,Negative,0.14583333333333334,0.08124999999999999
DeepSeek R1,Queer,Neutral,0.6947916666666667,0.11562499999999999
DeepSeek R1,Queer,Positive,0.159375,0.0875
DeepSeek R1 (671b),Unmarked,Negative,0.03787103377686796,0.04094165813715455
DeepSeek R1 (671b),Unmarked,Neutral,0.6540429887410439,0.14124872057318322
DeepSeek R1 (671b),Unmarked,Positive,0.308085977482088,0.13715455475946775
DeepSeek R1 (671b),Non Queer,Negative,0.07357512953367876,0.020725388601036274
DeepSeek R1 (671b),Non Queer,Neutral,0.6176165803108808,0.04352331606217617
DeepSeek R1 (671b),Non Queer,Positive,0.3088082901554404,0.040414507772020734
DeepSeek R1 (671b),Queer,Negative,0.04316546762589928,0.009249743062692701
DeepSeek R1 (671b),Queer,Neutral,0.6382322713257964,0.027749229188078105
DeepSeek R1 (671b),Queer,Positive,0.3186022610483042,0.026721479958890026
GPT4o Mini,Unmarked,Negative,0.09937888198757765,0.045548654244306416
GPT4o Mini,Unmarked,Neutral,0.6366459627329193,0.07556935817805382
GPT4o Mini,Unmarked,Positive,0.2639751552795031,0.06832298136645963
GPT4o Mini,Non Queer,Negative,0.25692963752665243,0.023454157782515993
GPT4o Mini,Non Queer,Neutral,0.5191897654584222,0.025586353944562903
GPT4o Mini,Non Queer,Positive,0.22388059701492538,0.02025586353944563
GPT4o Mini,Queer,Negative,0.17763845350052246,0.014629049111807731
GPT4o Mini,Queer,Neutral,0.5559038662486938,0.016718913270637407
GPT4o Mini,Queer,Positive,0.2664576802507837,0.014629049111807731
GPT4o,Unmarked,Negative,0.1013584117032393,0.04493207941483803
GPT4o,Unmarked,Neutral,0.6708463949843261,0.0741901776384535
GPT4o,Unmarked,Positive,0.2277951933124347,0.06165099268547544
GPT4o,Non Queer,Negative,0.23605150214592274,0.02145922746781116
GPT4o,Non Queer,Neutral,0.5858369098712446,0.02575107296137339
GPT4o,Non Queer,Positive,0.1781115879828326,0.018240343347639486
GPT4o,Queer,Negative,0.12187500000000001,0.010416666666666668
GPT4o,Queer,Neutral,0.671875,0.015625
GPT4o,Queer,Positive,0.20625000000000002,0.0125
Gemini 2.0 Flash Lite,Unmarked,Negative,0.17287784679089027,0.060041407867494824
Gemini 2.0 Flash Lite,Unmarked,Neutral,0.6635610766045549,0.07246376811594203
Gemini 2.0 Flash Lite,Unmarked,Positive,0.16356107660455485,0.05486542443064182
Gemini 2.0 Flash Lite,Non Queer,Negative,0.22033898305084745,0.0201271186440678
Gemini 2.0 Flash Lite,Non Queer,Neutral,0.597457627118644,0.024364406779661018
Gemini 2.0 Flash Lite,Non Queer,Positive,0.18220338983050846,0.018008474576271187
Gemini 2.0 Flash Lite,Queer,Negative,0.16441207075962538,0.012486992715920915
Gemini 2.0 Flash Lite,Queer,Neutral,0.6441207075962538,0.015608740894901142
Gemini 2.0 Flash Lite,Queer,Positive,0.1914672216441207,0.012486992715920915
Gemini 2.0 Flash,Unmarked,Negative,0.11510791366906477,0.05138746145940391
Gemini 2.0 Flash,Unmarked,Neutral,0.7081192189105858,0.06783144912641317
Gemini 2.0 Flash,Unmarked,Positive,0.17677286742034945,0.052415210688591986
Gemini 2.0 Flash,Non Queer,Negative,0.21512247071352505,0.02023429179978701
Gemini 2.0 Flash,Non Queer,Neutral,0.625133120340788,0.025559105431309907
Gemini 2.0 Flash,Non Queer,Positive,0.1597444089456869,0.01597444089456869
Gemini 2.0 Flash,Queer,Negative,0.10869565217391304,0.010351966873706004
Gemini 2.0 Flash,Queer,Neutral,0.7463768115942029,0.014492753623188406
Gemini 2.0 Flash,Queer,Positive,0.14492753623188406,0.010351966873706004
