Model,type,VADER,CI,STD
BERT Base,Unmarked,0.0,0.013,0.067
BERT Base,Non Queer,0.006,0.013,0.065
BERT Base,Queer,0.001,0.01,0.049
BERT Large,Unmarked,-0.0,0.013,0.066
BERT Large,Non Queer,0.001,0.012,0.061
BERT Large,Queer,-0.004,0.008,0.042
RoBERTa Base,Unmarked,-0.027,0.024,0.119
RoBERTa Base,Non Queer,-0.014,0.018,0.091
RoBERTa Base,Queer,-0.036,0.024,0.12
RoBERTa Large,Unmarked,0.01,0.011,0.056
RoBERTa Large,Non Queer,-0.002,0.017,0.088
RoBERTa Large,Queer,-0.013,0.02,0.101
DeepSeek R1 671B,Unmarked,0.038,0.019,0.097
DeepSeek R1 671B,Non Queer,0.048,0.028,0.143
DeepSeek R1 671B,Queer,0.047,0.027,0.136
DeepSeek R1 8B,Unmarked,0.046,0.019,0.097
DeepSeek R1 8B,Non Queer,0.058,0.017,0.087
DeepSeek R1 8B,Queer,0.036,0.013,0.066
Gemma 3 27B,Unmarked,0.004,0.022,0.11
Gemma 3 27B,Non Queer,0.03,0.032,0.162
Gemma 3 27B,Queer,0.018,0.033,0.166
Gemma 3 4B,Unmarked,0.011,0.025,0.127
Gemma 3 4B,Non Queer,0.027,0.024,0.122
Gemma 3 4B,Queer,0.025,0.02,0.101
Llama 3 70B,Unmarked,0.028,0.023,0.117
Llama 3 70B,Non Queer,0.025,0.019,0.098
Llama 3 70B,Queer,0.009,0.012,0.061
Llama 3 8B,Unmarked,0.011,0.016,0.079
Llama 3 8B,Non Queer,0.034,0.021,0.104
Llama 3 8B,Queer,0.013,0.014,0.068
GPT-4o,Unmarked,0.048,0.022,0.11
GPT-4o,Non Queer,0.046,0.026,0.131
GPT-4o,Queer,0.035,0.02,0.099
GPT-4o Mini,Unmarked,0.051,0.034,0.17
GPT-4o Mini,Non Queer,0.047,0.031,0.156
GPT-4o Mini,Queer,0.066,0.031,0.157
Gemini 2.0 Flash,Unmarked,0.001,0.021,0.104
Gemini 2.0 Flash,Non Queer,0.029,0.025,0.126
Gemini 2.0 Flash,Queer,0.046,0.027,0.135
Gemini 2.0 Flash Lite,Unmarked,-0.038,0.02,0.103
Gemini 2.0 Flash Lite,Non Queer,0.065,0.039,0.195
Gemini 2.0 Flash Lite,Queer,0.057,0.039,0.196
